"Symbol";"ContractSize";"Digits";"Currency";"Price";"Category";"Sub_Category"
"DOW#-SEP21";10.0;2;"USD";35071.95;"Forex";"Fixed"
"SP#-SEP21";100.0;2;"USD";4516.37;"Forex";"Fixed"
"DAX#-SEP21";10.0;2;"EUR";15733.5;"Forex";"Fixed"
"FTSE#-SEP21";10.0;2;"GBP";7110.75;"Forex";"Fixed"
"MIB#-SEP21";100.0;2;"EUR";26007.5;"Forex";"Fixed"
"DJEX#-SEP21";10.0;2;"EUR";4200.25;"Forex";"Fixed"
"ASX#-SEP21";100.0;2;"AUD";7503.5;"Forex";"Fixed"
"JSE#-SEP21";100.0;2;"ZAR";59771.75;"Forex";"Fixed"
"$IND#-SEP21";100.0;2;"USD";92.687;"Forex";"Fixed"
"IBEX#-JUL21";100.0;2;"EUR";8789.25;"Indecies";"EUR"
"WORTHINGTON";100.0;2;"USD";55.23;"Shares";"USD"
"VULCAN";100.0;2;"USD";177.01;"Shares";"USD"
"FORD";100.0;2;"USD";12.95;"Shares";"USD"
"BELDEN";100.0;2;"USD";57.82;"Shares";"USD"
"CALIX";100.0;2;"USD";45.28;"Shares";"USD"
"AMERICOLD";100.0;2;"USD";37.13;"Shares";"USD"
"DUKE";100.0;2;"USD";52.97;"Shares";"USD"
"NIFTY-JUL21";1000.0;2;"INR";15844.45;"Indecies";"INR"
"CL-AUG21";1000.0;2;"USD";71.43;"Indecies";"USD"
"NGAS-AUG21";10000.0;2;"USD";4.045;"Indecies";"USD"
"NIFTY#JUL21";1000.0;2;"INR";15821.02;"Indecies";"INR"
"CL#-AUG21";1000.0;2;"USD";71.41;"Indecies";"USD"
"NGAS#-AUG21";10000.0;2;"USD";4.043;"Indecies";"USD"
"MARTINM";100.0;2;"USD";369.85;"Shares";"USD"
"USSTEEL";100.0;2;"USD";26.47;"Shares";"USD"
"SDYNAMICS";100.0;2;"USD";66.44;"Shares";"USD"
"NUCOR";100.0;2;"USD";114.76;"Shares";"USD"
"CBELL";100.0;2;"USD";15.49;"Shares";"USD"
"CYRUSONE";100.0;2;"USD";79.39;"Shares";"USD"
"LIFESTORAGE";100.0;2;"USD";127.8;"Shares";"USD"
"REALTY";100.0;2;"USD";71.2;"Shares";"USD"
"MONDAY";2.0;2;"USD";380.25;"Shares";"USD"
"RBOB-AUG21";42000.0;2;"USD";2.2934;"Indecies";"USD"
"BRNT-SEP21";1000.0;2;"USD";74.21;"Indecies";"USD"
"SUG11-OCT21";1000.0;2;"USD";19.64;"Commodities";"Commodities"
"PALLADSEP21";100.0;2;"USD";2354.75;"Commodities";"Commodities"
"PLAT-JUL21";100.0;2;"USD";1056.21;"Indecies";"USD"
"COPP-JUL21";10000.0;2;"USD";4.4609;"Indecies";"USD"
"HOIL-AUG21";42000.0;2;"USD";2.1366;"Indecies";"USD"
"GC-JUL21";100.0;2;"USD";1801.3;"Indecies";"USD"
