"CustomerID";"FDP_Date";"FDP_Time";"FDPd";"REGdFDP";"BrandID";"CompID"
5235471;"29/08/2019";985;740.9167;16;4;2
5235484;"13/08/2019";1055;756.875;0;4;2
5235494;"14/08/2019";769;756.0833;1;4;2
5235561;"13/08/2019";666;757.1667;0;4;2
5235570;"06/11/2019";623;672.1667;85;4;2
5235574;"13/08/2019";693;757.125;0;4;2
5235596;"20/08/2019";765;750.0833;7;4;2
5235622;"29/10/2019";950;679.9583;77;4;2
5235659;"31/10/2019";666;678.1667;79;3;2
5235691;"28/04/2020";779;498.0833;259;4;2
5235724;"13/08/2019";912;757.0;0;4;2
5235769;"12/09/2019";712;727.125;30;4;2
5235774;"06/09/2019";1005;732.9167;24;4;2
5235824;"16/08/2019";731;754.125;3;4;2
5235846;"29/08/2019";1160;740.7917;16;4;2
5235873;"15/08/2019";769;755.0833;2;4;2
5235877;"01/10/2019";1380;707.6667;49;4;2
5235880;"18/08/2019";1074;751.875;5;4;2
5235916;"14/08/2019";1058;755.875;1;4;2
5235935;"14/08/2019";644;756.1667;1;4;2
5235942;"26/12/2019";880;622.0;134;4;2
5235963;"10/06/2020";980;454.9167;301;4;2
5235984;"14/08/2019";164;756.5;0;4;2
5235997;"15/08/2019";877;755.0;1;4;2
5236002;"30/09/2019";451;709.2917;47;3;2
5236042;"14/08/2019";1058;755.875;0;4;2
5236134;"20/08/2019";698;750.125;6;4;2
5236136;"01/10/2019";621;708.1667;48;4;2
5236137;"15/08/2019";877;755.0;1;4;2
5236146;"15/08/2019";872;755.0;1;4;2
5236179;"14/08/2019";1059;755.875;0;4;2
5236185;"14/08/2019";1057;755.875;0;4;2
5236191;"15/08/2019";878;755.0;1;4;2
5236253;"14/08/2019";634;756.1667;0;4;2
5236265;"14/08/2019";650;756.1667;0;4;2
5236276;"14/08/2019";667;756.1667;0;4;2
5236304;"15/08/2019";878;755.0;1;3;2
5236308;"19/08/2019";804;751.0417;5;5;2
5236353;"15/08/2019";875;755.0;1;4;2
5236357;"15/08/2019";876;755.0;1;4;2
5236391;"14/08/2019";876;756.0;0;4;2
5236393;"14/08/2019";838;756.0417;0;4;18
5236407;"30/09/2019";789;709.0833;47;4;2
5236474;"29/08/2019";806;741.0417;15;4;2
5236492;"27/08/2019";1187;742.7917;13;4;2
5236509;"15/08/2019";863;755.0;1;4;2
5236554;"15/08/2019";920;754.9583;1;4;2
5236563;"15/08/2019";1021;754.9167;1;4;2
5236590;"19/03/2020";796;538.0417;218;4;16
5236592;"20/08/2019";1016;749.9167;6;4;2
5236604;"25/08/2019";992;744.9167;11;4;2
5236654;"15/08/2019";973;754.9583;1;4;2
5236700;"16/08/2019";992;753.9167;2;4;2
5236726;"16/09/2019";1025;722.9167;32;4;2
5236746;"21/08/2019";764;749.0833;6;4;2
5236750;"15/08/2019";809;755.0417;0;4;2
5236759;"01/10/2019";638;708.1667;47;4;2
5236796;"10/09/2019";1289;728.7083;26;4;2
5236858;"15/08/2019";473;755.2917;0;3;2
5236889;"31/12/2020";920;250.9583;504;5;2
5236891;"18/08/2019";1016;751.9167;3;4;2
5236895;"28/08/2019";881;742.0;13;3;2
5236908;"18/08/2019";1027;751.9167;3;4;2
5236911;"18/08/2019";1014;751.9167;3;4;2
5236943;"05/08/2020";1005;398.9167;356;3;2
5237093;"15/08/2019";681;755.125;0;4;2
5237099;"15/08/2019";901;755.0;0;4;2
5237131;"15/08/2019";667;755.1667;0;4;2
5237201;"10/09/2019";877;729.0;26;4;2
5237236;"18/08/2019";1031;751.9167;3;4;18
5237305;"15/08/2019";905;755.0;0;3;2
5237318;"29/08/2019";1049;740.875;14;4;18
5237323;"02/09/2019";1067;736.875;18;4;2
5237330;"18/08/2019";1022;751.9167;3;4;2
5237336;"12/09/2019";51;727.5833;28;4;2
5237394;"05/09/2019";738;734.0833;21;4;2
5237444;"15/08/2019";1196;754.7917;0;4;2
5237447;"16/08/2019";696;754.125;1;4;2
5237491;"18/08/2019";1024;751.9167;3;4;2
5237545;"20/08/2019";798;750.0417;4;4;2
5237558;"18/08/2019";1028;751.9167;2;4;2
5237563;"01/09/2019";683;738.125;16;4;2
5237565;"19/08/2019";56;751.5833;3;4;2
5237597;"30/08/2019";498;740.25;14;4;2
5237598;"16/08/2019";833;754.0417;0;4;2
5237661;"09/09/2019";780;730.0833;24;4;2
5237718;"13/10/2019";566;696.2083;58;3;2
5237735;"16/08/2019";694;754.125;0;4;2
5237806;"21/08/2019";804;749.0417;5;4;2
5237828;"16/08/2019";720;754.125;0;5;2
5237852;"19/11/2019";956;658.9583;95;4;2
5237867;"29/08/2019";775;741.0833;13;3;2
5237905;"16/08/2019";963;753.9583;0;4;2
5237910;"18/08/2019";972;751.9583;2;4;2
5237924;"19/08/2019";570;751.2083;3;4;2
5237926;"27/08/2019";974;742.9583;11;4;2
5237928;"16/08/2019";1026;753.9167;0;4;2
5237955;"01/09/2019";999;737.9167;16;4;2
5237977;"19/08/2019";789;751.0833;3;4;2
5237989;"18/08/2019";743;752.0833;2;4;2
5238031;"17/08/2019";1168;752.7917;1;4;2
5238054;"21/08/2019";1097;748.8333;5;4;2
5238082;"28/08/2019";833;742.0417;12;3;2
5238102;"03/09/2019";672;736.1667;18;4;2
5238143;"23/08/2020";1112;380.8333;372;4;2
5238204;"17/08/2019";299;753.4167;0;4;2
5238215;"28/11/2019";980;649.9167;103;4;2
5238305;"20/08/2019";770;750.0833;3;4;2
5238310;"17/08/2019";644;753.1667;0;4;2
5238374;"08/09/2019";629;731.1667;22;4;2
5238381;"19/08/2019";610;751.2083;2;3;2
5238413;"30/08/2019";1251;739.75;13;4;2
5238425;"02/09/2019";1006;736.9167;16;4;2
5238508;"17/08/2019";1271;752.75;0;4;2
5238605;"27/08/2019";1155;742.7917;9;4;2
5238655;"18/08/2019";678;752.125;0;4;2
5238657;"21/08/2019";1340;748.6667;3;3;2
5238868;"26/08/2019";643;744.1667;8;4;2
5238885;"21/08/2019";1015;748.9167;3;4;2
5238892;"27/08/2019";907;743.0;9;4;2
5238906;"20/08/2019";694;750.125;2;4;18
5238929;"09/09/2019";798;730.0417;22;3;2
5239012;"29/09/2019";824;710.0417;42;4;2
5239013;"20/08/2019";689;750.125;2;4;2
5239022;"21/08/2019";657;749.1667;3;4;2
5239085;"18/08/2019";960;751.9583;0;4;2
5239087;"18/08/2019";926;751.9583;0;4;2
5239089;"18/08/2019";946;751.9583;0;4;2
5239092;"19/08/2019";742;751.0833;1;4;2
5239099;"19/08/2019";743;751.0833;1;4;2
5239108;"08/09/2019";1134;730.8333;21;4;2
5239115;"19/08/2019";1056;750.875;1;4;2
5239208;"24/06/2020";26;441.5833;311;4;2
5239223;"25/08/2019";751;745.0833;7;4;2
5239227;"19/08/2019";901;751.0;1;4;2
5239305;"05/09/2019";975;733.9167;17;4;2
5239367;"20/08/2019";693;750.125;1;4;2
5239394;"21/03/2020";873;536.0;215;4;2
5239405;"03/11/2019";1113;674.8333;76;4;2
5239477;"19/08/2019";578;751.2083;0;4;2
5239481;"20/08/2019";685;750.125;1;4;2
5239546;"28/08/2019";789;742.0833;9;4;2
5239572;"31/10/2019";910;678.0;73;4;2
5239622;"08/10/2019";569;701.2083;50;4;2
5239628;"28/08/2019";658;742.1667;9;4;2
5239644;"16/09/2019";847;723.0417;28;4;2
5239678;"20/10/2019";744;689.0833;62;3;2
5239699;"20/08/2019";852;750.0417;1;4;2
